PATIENT_TELECOM_ID,SYSTEM_ID,TELECOM_USE,CONTACT_VALUE,PATIENT_ID
5002,0,0,(0113) 574 3265,1002
5003,0,0,(0113) 211 8604,1003
5004,0,0,(01937) 722822,1004
5005,0,0,(0113) 342 7642,1005
5006,0,0,(0113) 532 7684,1006
5007,0,0,(0113) 486 5263,1007
5008,0,0,(0113) 030 5072,1008
5009,0,0,(01924) 381375,1009
5010,0,0,(0113) 304 7156,1010
5011,0,0,(0113) 165 3530,1011
5012,0,0,(0113) 078 7521,1012
5013,0,0,(0113) 483 7462,1013
5014,0,0,(0113) 732 8503,1014
5015,0,0,(0113) 187 1011,1015
5016,0,0,(0113) 281 8336,1016
5017,0,0,(0113) 162 8633,1017
5018,0,0,(0113) 871 0403,1018
5019,0,0,(0113) 437 4666,1019
5020,0,0,(01937) 431788,1020
5021,0,4,(0794) 437 5226,1031
5022,0,4,(0765) 823 7853,1032
5023,0,4,(0794) 461 3786,1033
5024,0,4,(07655) 618263,1034
5025,0,4,(0794) 151 0220,1035
5026,0,4,(0754) 332 7451,1036
5027,0,4,(0794) 444 8263,1037
5028,0,4,(0754) 023 5510,1038
5029,0,4,(0794) 140 0018,1039
5030,0,4,(0780) 583543,1040
5031,0,0,(01924) 368613,1031
5032,0,0,(01756) 222356,1032
5033,0,0,(01535) 877810,1033
5034,0,0,(0113) 875 0644,1034
5035,0,0,(01943) 011250,1035
5036,0,0,(0113) 826 3332,1036
5037,0,0,(01977) 218278,1037
5038,0,0,(0113) 452 4221,1038
5039,0,0,(01943) 313465,1039
5040,0,0,(0113) 635 5744,1040
5041,0,0,(0113) 726 8254,1041
5042,0,0,(01943) 340213,1042
5043,0,0,(01937) 202002,1043
5044,0,0,(01757) 400028,1044
5045,0,0,(01943) 180348,1045
5046,0,0,(0113) 870 0546,1046
5047,0,0,(0113) 326 1348,1047
5048,0,0,(0113) 731 4485,1048
5049,0,0,(0113) 235 4722,1049
5050,0,0,(01977) 373701,1050
5051,0,0,(01943) 331255,1051
5052,0,0,(01943) 232310,1052
5053,0,0,(0113) 533 8453,1053
5054,0,0,(0113) 533 7658,1054
5055,0,0,(0113) 774 8341,1055
5056,0,0,(0113) 303 3874,1056
5057,0,0,(01977) 761467,1057
5058,0,0,(01937) 431068,1058
5059,0,0,(01977) 116630,1059
5060,0,0,(0113) 420 0726,1060
5061,0,0,(0113) 875 1143,1061
5062,0,0,(0113) 542 3163,1062
5063,0,0,(0113) 820 4001,1063
5064,0,0,(01943) 550554,1064
5065,0,0,(0113) 455 3370,1065
5066,0,0,(0113) 741 2088,1066
5067,0,0,(01535) 167626,1067
5068,0,0,(01943) 501160,1068
5069,0,0,(01943) 661563,1069
5070,0,0,(0113) 285 2124,1070
5071,0,0,(0113) 630 4473,1071
5072,0,0,(0113) 425 2213,1072
5073,0,0,(0113) 784 8540,1073
5074,0,0,(0113) 386 3277,1074
5075,0,0,(0113) 331 7506,1075
5076,0,0,(01937) 088051,1076
5077,0,0,(0113) 001 4257,1077
5078,0,0,(01943) 700508,1078
5079,0,0,(0113) 488 7716,1079
5080,0,0,(01535) 747305,1080
5081,0,0,(01943) 406828,1081
5082,0,0,(0113) 302 6022,1082
5083,0,0,(0113) 803 1741,1083
5084,0,0,(01943) 534228,1084
5085,0,0,(01937) 653135,1085
5086,0,0,(0113) 228 3614,1086
5087,0,0,(0113) 231 7344,1087
5088,0,0,(0113) 888 0365,1088
5089,0,0,(0113) 412 4884,1089
5090,0,0,(0113) 748 1430,1090
5091,0,0,(01977) 363586,1091
5092,0,0,(0113) 003 5406,1092
5093,0,0,(0113) 553 2418,1093
5094,0,0,(0113) 615 2646,1094
5095,0,0,(01943) 207646,1095
5096,0,0,(0113) 416 7223,1096
5097,0,0,(0113) 312 5844,1097
5098,0,0,(01535) 121667,1098
5099,0,0,(0113) 337 4211,1099
5100,0,0,(0113) 201 3231,1100
5102,2,0,Kendra.Fitzgerald@campalazzola.co.uk,1002
5103,2,0,Christine-Taylor@bosonurit.com,1003
5104,2,0,DelisaySantos@transitic.net,1004
5105,2,0,Darle.Cunni@loging.org,1005
5106,2,0,Zara_Tengku@andum.com,1006
5107,2,0,Adrien-Ho@competer.net,1007
5108,2,0,Orville-Hollo@disappeared.org,1008
5109,2,0,MinaAnti?@unclaiminate.net,1009
5110,2,0,Joann-Delgado@greaty.co.uk,1010
5111,2,0,Everett_Townsend@mechanies.net,1011
5112,2,0,Joy_Jennings@end.com,1012
5113,2,0,Timothy.Di@tymie.net,1013
5114,2,0,Gabrie.Quinn@wins.com,1014
5115,2,0,AdamBe@dates.org,1015
5116,2,0,BruceBall@kerness.org,1016
5117,2,0,Virginia_Aguilar@hanniversity.net,1017
5118,2,0,Dwayne_Frazier@forminated.org,1018
5119,2,0,RoderickHolloway@acquired.net,1019
5120,2,0,Van.Cohe@presidential.net,1020
5131,2,0,Ryan.Nelso@narauts.com,1031
5132,2,0,MarianneMorton@poets.com,1032
5133,2,0,KimberlyCollier@species.org,1033
5134,2,0,Marcus-Ford@replace.com,1034
5135,2,0,Jerome_Benson@cally.co.uk,1035
5136,2,0,Akino-Sato@relating.org,1036
5137,2,0,Courtney-Daniel@he.com,1037
5138,2,0,Garrett.Maldonado@secondency.net,1038
5139,2,0,BryantNunez@power.org,1039
5140,2,0,Danny.Rho@gover.org,1040
